site,id,year,api_ok,n_det,n_person,n_vehicle,n_sidewalk,n_road,n_vegetation,n_marking,n_sign
Vassar Street,473123670636691,2019,True,1,0,0,0,0,0,0,0
Vassar Street,530745454602274,2019,True,1,0,0,0,0,0,0,0
Vassar Street,2858629267737287,2019,True,3,0,0,0,0,0,1,0
Vassar Street,4307402432627171,2019,True,3,0,0,0,0,0,1,0
Vassar Street,272164644652608,2019,True,4,0,0,0,0,0,0,0
Vassar Street,197955732159598,2019,True,2,0,0,0,0,0,0,0
Vassar Street,3875494622519025,2019,True,2,0,0,0,0,0,0,0
Vassar Street,566996130941266,2019,True,4,0,0,0,0,0,0,0
Vassar Street,1857874297696037,2019,True,5,0,0,0,0,0,0,0
Vassar Street,191697652804438,2019,True,5,0,0,0,0,0,0,0
Vassar Street,1148712155643765,2019,True,3,0,0,0,0,0,0,0
Vassar Street,524064295261722,2019,True,6,0,0,0,0,0,0,1
Vassar Street,313467290159583,2019,True,2,0,0,0,0,0,0,0
Vassar Street,293599502480676,2019,True,2,0,0,0,0,0,0,0
Vassar Street,278842613963763,2019,True,1,0,0,0,0,0,0,0
Vassar Street,4368591063186203,2019,True,3,0,0,0,0,0,0,1
Vassar Street,335290667952684,2019,True,1,0,0,0,0,0,0,0
Vassar Street,851734682085927,2019,True,1,0,0,0,0,0,0,0
Vassar Street,961018417999548,2019,True,1,0,0,0,0,0,0,0
Vassar Street,219989679562378,2019,True,1,0,0,0,0,0,0,0
Vassar Street,2933764893616604,2019,True,2,0,0,0,0,0,0,1
Vassar Street,222970495879763,2019,True,4,0,0,0,0,0,0,0
Vassar Street,226506092578708,2019,True,3,0,0,0,0,0,0,0
Vassar Street,197929125487296,2019,True,4,0,0,0,0,0,0,0
Vassar Street,960681371425901,2019,True,439,0,16,0,5,23,7,0
Vassar Street,496832951661299,2019,True,376,0,14,0,7,21,5,1
Vassar Street,1275128736217929,2019,True,314,0,11,0,4,16,11,0
Vassar Street,4137245696338146,2019,True,389,0,13,0,13,20,22,0
Vassar Street,164737405573761,2019,True,423,0,17,0,10,21,8,0
